                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7758,                 8.6125,                 2.9615,                      0,                      0,                      0,                      0,                 5.8623,                 8.8016,                 2.8695,                0.00012,                0.00012,                0.00012
                      2,                 5.0977,                   6.14,                 2.0684,                      0,                      0,                      0,                      0,                 4.5996,                 5.4213,                 1.6065,             0.00025485,             0.00025485,             0.00025485
                      3,                 4.0395,                 4.3265,                 1.4958,                0.00167,                  0.125,                0.00161,                0.00036,                 3.4893,                 4.6472,                 1.2655,             0.00038416,             0.00038416,             0.00038416
                      4,                 3.8328,                 3.5652,                 1.4103,                  0.001,                  0.075,                0.00079,                 0.0001,                 3.1791,                 4.4529,                 1.1998,             0.00050792,             0.00050792,             0.00050792
                      5,                 3.3638,                 3.0148,                 1.2903,                0.00267,                    0.2,                0.00241,                0.00035,                 3.0311,                 4.2611,                 1.1715,             0.00062614,             0.00062614,             0.00062614
                      6,                 3.0673,                 2.7349,                 1.2663,                0.00267,                    0.2,                0.00236,                0.00068,                 2.7788,                 4.0228,                 1.1403,             0.00073882,             0.00073882,             0.00073882
                      7,                  3.003,                 2.5318,                 1.1975,                0.00867,                   0.65,                0.05607,                0.01768,                 2.4493,                 3.4876,                  1.001,             0.00084595,             0.00084595,             0.00084595
                      8,                  2.827,                 2.3077,                 1.1192,                0.02087,                    0.6,                0.21486,                0.05886,                 2.3664,                 3.2198,                 1.0045,             0.00094754,             0.00094754,             0.00094754
                      9,                 2.6332,                 2.1683,                 1.0923,                0.55219,                  0.225,                0.21059,                0.10494,                  2.414,                 2.8826,                 1.0203,              0.0010436,              0.0010436,              0.0010436
                     10,                 2.5569,                 2.1292,                 1.0787,                0.28548,                   0.15,                0.16213,                0.07254,                 2.5052,                 3.2192,                 1.0323,              0.0011341,              0.0011341,              0.0011341
                     11,                 2.6386,                 2.0552,                 1.0958,                      1,                0.12248,                0.28736,                0.08671,                  2.373,                 2.8954,                 1.0282,               0.001219,               0.001219,               0.001219
                     12,                 2.6593,                 1.9522,                 1.0637,                 0.2367,                 0.0777,                0.11811,                0.03762,                   2.39,                 3.0802,                 1.0416,              0.0012985,              0.0012985,              0.0012985
                     13,                 2.3796,                   1.79,                 1.0198,                0.80207,                0.10155,                  0.299,                0.10991,                 2.3027,                 2.8871,                 1.0135,              0.0013723,              0.0013723,              0.0013723
                     14,                 2.5339,                 1.8401,                 1.0807,                0.67142,                  0.125,                0.18636,                0.05444,                  2.295,                 2.9549,                 1.0125,              0.0014406,              0.0014406,              0.0014406
                     15,                 2.5964,                 1.8777,                 1.0712,                0.51705,                0.26791,                0.30052,                0.12737,                 2.3608,                 2.4778,                  1.036,              0.0014456,              0.0014456,              0.0014456
                     16,                 2.4764,                 1.7604,                 1.0718,                0.51904,                    0.4,                 0.4356,                0.18246,                 2.1475,                 2.2319,                0.99947,              0.0014456,              0.0014456,              0.0014456
                     17,                 2.4344,                 1.7481,                 1.0387,                0.52662,                0.38956,                0.39462,                0.17448,                  2.126,                 2.1463,                0.98855,               0.001406,               0.001406,               0.001406
                     18,                 2.3441,                 1.7265,                 1.0361,                0.59717,                   0.35,                0.35373,                0.16472,                 2.3616,                 1.9313,                 1.0094,              0.0013664,              0.0013664,              0.0013664
                     19,                 2.2809,                 1.5561,                 1.0141,                0.52211,                 0.4645,                0.44425,                0.19579,                 2.1601,                 1.6632,                0.95406,              0.0013268,              0.0013268,              0.0013268
                     20,                 2.3755,                 1.6059,                 1.0212,                0.69118,                0.61564,                0.66013,                 0.2243,                  2.251,                 1.5874,                0.95588,              0.0012872,              0.0012872,              0.0012872
                     21,                  2.259,                 1.5115,                 1.0155,                0.75116,                0.60381,                0.66941,                0.21371,                 2.2733,                 1.6458,                0.96575,              0.0012476,              0.0012476,              0.0012476
                     22,                   2.26,                   1.54,                0.99602,                0.81404,                    0.5,                0.57376,                0.23238,                 2.1105,                 1.6533,                0.94934,               0.001208,               0.001208,               0.001208
                     23,                 2.3173,                 1.5437,                0.99901,                0.76699,                  0.625,                0.62691,                0.25871,                 1.9779,                 1.5837,                0.92457,              0.0011684,              0.0011684,              0.0011684
                     24,                 2.2209,                 1.4849,                 1.0273,                0.82364,                    0.6,                0.60258,                0.21115,                 2.1026,                 1.6114,                0.94383,              0.0011288,              0.0011288,              0.0011288
                     25,                 2.2594,                 1.4891,                 0.9899,                0.71275,                0.55846,                0.54707,                0.19978,                 2.1419,                 1.6257,                0.95035,              0.0010892,              0.0010892,              0.0010892
